google_email,calendar_id,measured_from,measured_to,event_count,meeting_count,total_meeting_minutes,avg_meeting_duration_minutes,all_day_event_count,active_hours,early_late_meeting_ratio,weekend_meeting_ratio,focus_time_count,focus_time_minutes,fragmented_calendar_score,no_meeting_block_count,organizer_event_count,attendee_event_count,organizer_ratio,attendee_count_avg,large_meeting_ratio,external_meeting_ratio,accepted_attendee_count,declined_attendee_count,tentative_attendee_count,no_response_ratio,recurring_event_count,recurring_meeting_ratio,busy_minutes,working_location_count,working_location_mix,event_update_count,meeting_provider_mix,fetched_at,fetch_status,error_message
emp0032@company.example,primary,2026-02-21,2026-05-22,59,49,2082,42.5,4,11:00-16:00,0.116,0.084,17,1389,57.9,25,15,34,0.306,6.6,0.124,0.037,31,3,1,0.0,19,0.259,5316,46,home:60%;office:30%;other:10%,14,Google Meet:55%;Zoom:21%;Microsoft Teams:11%;In-person:6%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0036@company.example,primary,2026-02-21,2026-05-22,81,63,2860,45.4,1,11:00-16:00,0.044,0.046,24,1793,81.9,26,2,61,0.032,7.1,0.129,0,54,5,4,0.0,31,0.365,5780,38,office:75%;home:20%;other:5%,15,Google Meet:58%;Zoom:20%;Microsoft Teams:9%;In-person:6%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0052@company.example,primary,2026-02-21,2026-05-22,114,64,2125,33.2,6,10:00-16:00,0,0,17,945,64.4,18,9,55,0.141,6.5,0.163,0.037,46,4,3,0.036,42,0.514,4841,38,office:75%;home:20%;other:5%,25,Google Meet:61%;Zoom:17%;Microsoft Teams:9%;In-person:7%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0060@company.example,primary,2026-02-21,2026-05-22,68,61,2629,43.1,4,10:00-18:00,0.052,0.038,14,1078,69.0,18,31,30,0.508,3.4,0.104,0.073,23,2,2,0.1,18,0.251,5804,47,home:30%;office:60%;other:10%,20,Google Meet:59%;Zoom:15%;Microsoft Teams:6%;In-person:13%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0072@company.example,primary,2026-02-21,2026-05-22,80,69,2788,40.4,3,10:00-18:00,0.07,0.047,16,1580,52.5,13,16,53,0.232,4.5,0.145,0.065,47,2,2,0.038,26,0.256,5318,27,home:30%;office:60%;other:10%,24,Google Meet:61%;Zoom:15%;Microsoft Teams:5%;In-person:13%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0080@company.example,primary,2026-02-21,2026-05-22,89,43,1759,40.9,4,09:00-18:00,0.108,0.029,17,1574,56.0,27,5,38,0.116,3.1,0.135,0.074,32,2,1,0.079,30,0.478,5490,55,office:75%;home:20%;other:5%,20,Google Meet:63%;Zoom:18%;Microsoft Teams:5%;In-person:7%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0044@company.example,primary,2026-02-21,2026-05-22,80,50,2340,46.8,8,09:00-18:00,0.079,0.057,13,1152,64.8,28,3,47,0.06,5.1,0.09,0.051,39,2,2,0.085,27,0.478,4755,26,home:30%;office:60%;other:10%,19,Google Meet:62%;Zoom:13%;Microsoft Teams:10%;In-person:8%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0064@company.example,primary,2026-02-21,2026-05-22,104,73,1964,26.9,7,09:00-18:00,0.067,0.035,18,1544,68.1,24,19,54,0.26,2.4,0.138,0.076,48,6,5,0.0,42,0.393,4354,60,home:60%;office:30%;other:10%,27,Google Meet:62%;Zoom:19%;Microsoft Teams:6%;In-person:6%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0016@company.example,primary,2026-02-21,2026-05-22,123,47,1810,38.5,8,10:00-18:00,0.127,0,14,1099,72.5,23,10,37,0.213,6.0,0.133,0.059,34,4,3,0.0,45,0.882,4170,49,office:75%;home:20%;other:5%,31,Google Meet:62%;Zoom:17%;Microsoft Teams:8%;In-person:6%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0076@company.example,primary,2026-02-21,2026-05-22,79,75,2445,32.6,4,10:00-16:00,0.054,0.033,20,1739,58.9,16,25,50,0.333,6.9,0.106,0.074,44,5,3,0.0,31,0.278,6326,25,home:60%;office:30%;other:10%,10,Google Meet:54%;Zoom:22%;Microsoft Teams:10%;In-person:8%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0087@company.example,primary,2026-02-21,2026-05-22,69,16,750,46.9,3,11:00-17:00,0.052,0.038,6,515,49.1,27,3,13,0.188,3.7,0.125,0.058,11,1,1,0.0,21,0.861,2758,58,home:60%;office:30%;other:10%,13,Google Meet:61%;Zoom:14%;Microsoft Teams:8%;In-person:10%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0089@company.example,primary,2026-02-21,2026-05-22,89,79,3468,43.9,4,10:00-16:00,0.042,0.035,13,1294,73.7,22,21,58,0.266,7.3,0.169,0.14,49,3,5,0.017,23,0.216,6865,49,home:45%;office:45%;other:10%,18,Google Meet:62%;Zoom:13%;Microsoft Teams:10%;In-person:9%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0083@company.example,primary,2026-02-21,2026-05-22,78,40,1856,46.4,6,10:00-17:00,0.026,0,13,1135,60.1,27,11,29,0.275,4.8,0.114,0.098,23,3,1,0.069,19,0.346,3969,43,home:60%;office:30%;other:10%,20,Google Meet:63%;Zoom:14%;Microsoft Teams:6%;In-person:10%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0091@company.example,primary,2026-02-21,2026-05-22,114,77,3742,48.6,8,11:00-17:00,0.119,0.031,0,0,84.9,12,10,67,0.13,5.6,0.142,0.029,59,5,3,0.0,39,0.443,5872,51,home:30%;office:60%;other:10%,36,Google Meet:57%;Zoom:14%;Microsoft Teams:7%;In-person:15%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0093@company.example,primary,2026-02-21,2026-05-22,126,57,2901,50.9,9,09:00-18:00,0.101,0.091,2,130,76.3,13,16,41,0.281,5.8,0.055,0.042,35,3,2,0.024,33,0.52,4273,45,home:45%;office:45%;other:10%,32,Google Meet:55%;Zoom:20%;Microsoft Teams:10%;In-person:9%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0095@company.example,primary,2026-02-21,2026-05-22,111,73,2606,35.7,9,11:00-18:00,0.102,0,1,76,100,17,9,64,0.123,5.8,0.115,0.047,54,3,3,0.062,45,0.425,3441,41,home:30%;office:60%;other:10%,27,Google Meet:56%;Zoom:15%;Microsoft Teams:9%;In-person:14%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0099@company.example,primary,2026-02-21,2026-05-22,82,71,2300,32.4,7,11:00-16:00,0.087,0.059,12,767,59.6,17,9,62,0.127,5.4,0.115,0.124,51,3,3,0.081,29,0.286,4123,35,office:75%;home:20%;other:5%,16,Google Meet:57%;Zoom:19%;Microsoft Teams:7%;In-person:11%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0097@company.example,primary,2026-02-21,2026-05-22,120,89,4850,54.5,7,11:00-18:00,0.103,0.053,13,969,72.4,18,24,65,0.27,5.2,0.158,0.149,51,7,4,0.046,31,0.248,7652,36,office:75%;home:20%;other:5%,35,Google Meet:52%;Zoom:22%;Microsoft Teams:7%;In-person:13%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0085@company.example,primary,2026-02-21,2026-05-22,130,85,2125,25.0,10,10:00-18:00,0.059,0.024,13,761,73.0,23,28,57,0.329,5.1,0.121,0.06,48,4,1,0.07,52,0.456,4665,32,home:45%;office:45%;other:10%,18,Google Meet:56%;Zoom:21%;Microsoft Teams:5%;In-person:12%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0094@company.example,primary,2026-02-21,2026-05-22,58,41,1312,32.0,8,10:00-18:00,0.081,0.011,12,1070,75.5,28,5,36,0.122,4.7,0.094,0.068,31,3,1,0.028,16,0.29,4384,24,home:45%;office:45%;other:10%,18,Google Meet:63%;Zoom:16%;Microsoft Teams:5%;In-person:9%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0098@company.example,primary,2026-02-21,2026-05-22,62,61,2733,44.8,6,10:00-17:00,0.083,0.035,7,548,63.8,11,2,59,0.033,5.9,0.194,0.126,54,4,3,0.0,24,0.332,5426,55,home:60%;office:30%;other:10%,9,Google Meet:57%;Zoom:22%;Microsoft Teams:7%;In-person:7%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0084@company.example,primary,2026-02-21,2026-05-22,105,79,2836,35.9,8,09:00-18:00,0.06,0.056,7,597,66.6,23,5,74,0.063,3.9,0.127,0.177,62,8,4,0.0,40,0.408,4922,52,office:75%;home:20%;other:5%,22,Google Meet:57%;Zoom:17%;Microsoft Teams:10%;In-person:9%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0086@company.example,primary,2026-02-21,2026-05-22,78,78,3159,40.5,5,11:00-18:00,0.137,0.029,7,508,68.8,16,2,76,0.026,1.8,0.123,0.117,70,8,6,0.0,28,0.308,5810,39,home:60%;office:30%;other:10%,21,Google Meet:60%;Zoom:18%;Microsoft Teams:7%;In-person:8%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0090@company.example,primary,2026-02-21,2026-05-22,82,35,1816,51.9,9,09:00-17:00,0.112,0.015,10,919,44.8,23,9,26,0.257,4.3,0.077,0.063,19,2,2,0.115,24,0.606,3511,40,home:30%;office:60%;other:10%,17,Google Meet:59%;Zoom:19%;Microsoft Teams:6%;In-person:10%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0088@company.example,primary,2026-02-21,2026-05-22,84,67,3116,46.5,7,09:00-17:00,0.086,0.007,13,757,57.7,20,21,46,0.313,5.3,0.089,0.065,34,5,3,0.087,24,0.275,5124,26,office:75%;home:20%;other:5%,13,Google Meet:58%;Zoom:17%;Microsoft Teams:8%;In-person:11%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0092@company.example,primary,2026-02-21,2026-05-22,95,61,2861,46.9,7,09:00-16:00,0.011,0.04,12,1136,67.7,16,8,53,0.131,5.2,0.107,0.075,42,2,2,0.132,22,0.339,5681,72,home:45%;office:45%;other:10%,15,Google Meet:63%;Zoom:15%;Microsoft Teams:6%;In-person:11%;Other:5%,2026-05-22T09:00:00+09:00,success,
emp0100@company.example,primary,2026-02-21,2026-05-22,115,103,3811,37.0,10,09:00-17:00,0.087,0.012,12,676,85.6,15,10,93,0.097,6.2,0.155,0.065,79,6,7,0.011,47,0.367,6638,50,office:75%;home:20%;other:5%,15,Google Meet:62%;Zoom:16%;Microsoft Teams:8%;In-person:8%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0096@company.example,primary,2026-02-21,2026-05-22,116,70,2940,42.0,11,10:00-18:00,0.164,0.027,7,474,76.5,22,14,56,0.2,3.6,0.114,0.064,52,3,3,0.0,47,0.507,4536,59,home:30%;office:60%;other:10%,33,Google Meet:55%;Zoom:20%;Microsoft Teams:8%;In-person:12%;Other:5%,2026-05-22T09:00:00+09:00,success,
